क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
81	हि		गतौ वृद्धौ च	हितः	हितवान्	हित्वा	प्रहित्य	हेतुम्	हेतव्यम्	हेता	हेष्यति		हायकः	हयः	हेयम्	हयनीयम्	हयनम्		
82	रि		हिंसायाम्	रि	रितः	रितवान्	रित्वा	प्ररित्य	रेतुम्	रेतव्यम्	रेता	रेष्यति		रायकः	रयः	रेयम्	रयणीयम्	रयणम्	
83	क्षि		हिंसायाम्	क्षि	क्षितः	क्षितवान्	क्षित्वा	प्रक्षित्य	क्षेतुम्	क्षेतव्यम्	क्षेता	क्षेष्यति		क्षायकः	क्षायः	क्षेयम्	क्षयणीयम्	क्षयणम्	
84	रि		गतौ	रि	रितः	रितवान्	रित्वा	प्ररित्य	रेतुम्	रेतव्यम्	रेता	रेष्यति		रायकः	रयः	रेयम्	रयणीयम्	रयणम्	
85	पि		गतौ	पि	पितः	पितवान्	पित्वा	प्रपित्य	पेतुम्	पेतव्यम्	पेता	पेष्यति		पायकः	पयः	पेयम्	पयनीयम्	पयनम्	
86	धि		गतौ	धि	धितः	धितवान्	धित्वा	प्रधित्य	धेतुम्	धेतव्यम्	धेता	धेष्यति		धायकः	धायः	धेयम्	धयनीयम्	धयनम्	
87	चिञ्		चयने	चि	चितः	चितवान्	चित्वा	प्रचित्य	चेतुम्	चेतव्यम्	चेता	चेष्यति	चेष्यते	चायकः	चायः	चेयम्	चयनीयम्	चयनम्	
88	षिञ्		बन्धने	सि	सितः	सितवान्	सित्वा	प्रसित्य	सेतुम्	सेतव्यम्	सेता	सेष्यति	सेष्यते	सायकः	सायः	सेयम्	सयनीयम्	नम्	
89	क्षि		निवासगत्योः	क्षि	क्षितः	क्षितवान्	क्षित्वा	प्रक्षीय	क्षेतुम्	क्षेतव्यम्	क्षेता	क्षेष्यति		क्षायकः	क्षायः	क्षेयम्	क्षयणीयम्	क्षयणम्	
90	चिरि		हिंसायाम्	चिरि	चिर्यितः	चिर्यितवान्	चिरयित्वा	प्रचिरित्य	चिरयितुम्	चिरयितव्यम्	चिरयिता	चिरयिष्यति		चिरायकः	चिरयः	चिरेयम्	चिरणीयम्	चिरयनम्	
91	जिरि		हिंसायाम्	जिरि	जिर्यितः	जिर्यितवान्	जिरयित्वा	प्रजिरित्य	जिरयितुम्	जिरयितव्यम्	जिरयिता	जिरयिष्यति		जिरायकः	जिरयः	जिरेयम्	जिरयणीयम्	जिरयणम्	
