क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
1592	लघि		भाषार्थः (भासार्थः वा)	लन्घ्	लङ्घितः	लङ्घितवान्	लङ्घयित्वा/लङ्घित्वा	विलङ्घ्य	लङ्घयितुम्/लङ्घितुम्	लङ्घयितव्यम्/लङ्घितव्यम्	लङ्घयिता/लङ्घिता	लङ्घयिष्यति/लङ्घिष्यति		लङ्घकः	लङ्घः	लङ्घ्यम्	लङ्घनीयम्	लङ्घनम्	
1593	लोचृ		भाषार्थः (भासार्थः वा)	लोच्	लोचितः	लोचितवान्	लोचयित्वा लोचित्वा	विलोच्य	लोचयितुम् लोचितुम्	लोचयितव्यम् लोचितव्यम्	लोचयिता लोचिता	लोचयिष्यति लोचिष्यति	लोचयिष्यते	लोचकः	लोचः	लोच्यम्	लोचनीयम्	लोचनम्	
1594	अर्च		पूजायाम्	अर्च्	अर्चितः	अर्चितवान्	अर्चयित्वा अर्चित्वा	प्रार्च्य	अर्चितुम्	अर्चयितव्यम् अर्चितव्यम्	अर्चयिता अर्चिता	अर्चयिष्यति अर्चिष्यति	अर्चयिष्यते	अर्चकः	अर्चः	अर्च्यम्	अर्चनीयम्	अर्चनम्	
1595	पचि		विस्तारवचने	पन्च्	पञ्चितः	पञ्चितवान्	पञ्चयित्वा/पञ्चित्वा	प्रपञ्च्य	पञ्चयितुम्/पञ्चितुम्	पञ्चयितव्यम्/पञ्चितव्यम्	पञ्चयिता/पञ्चिता	पञ्चयिष्यति/पञ्चिष्यति	पञ्चयिष्यते	पञ्चकः	पञ्चः	पञ्च्यम्	पञ्चनीयम्	पञ्चनम्	
1596	वञ्चु		प्रलम्भने	वन्च्	वञ्चितः	वञ्चितवान्	वञ्चयित्वा/वञ्चित्वा	प्रवञ्च्य	वञ्चयितुम्/वञ्चितुम्	वञ्चयितव्यम्/वञ्चितव्यम्	वञ्चयिता/वञ्चिता	वञ्चयिष्यति/वञ्चिष्यति	वञ्चयिष्यते	वञ्चकः	वञ्चः	वञ्च्यम्	वञ्चनीयम्	वञ्चनम्	
1597	अञ्चु		विशेषणे	अञ्च्	अञ्चितः	अञ्चितवान्	अञ्चयित्वा/अञ्चित्वा	प्राञ्च्य	अञ्चयितुम्/अञ्चितुम्	अञ्चयितव्यम्/अञ्चितव्यम्	अञ्चयिता/अञ्चिता	अञ्चयिष्यति/अञ्चिष्यति		अञ्चकः	अञ्चः	अञ्च्यम्	अञ्चनीयम्	अञ्चनम्	
1598	विच्छ		भाषार्थः (भासार्थः वा)	विच्छ्	विच्छितः	विच्छितवान्	विच्छित्वा	प्रविच्छ्य	विच्छयितुम्/विच्छितुम्	विच्छयितव्यम्/विच्छितव्यम्	विच्छयिता/विच्छिता	विच्छयिष्यति/विच्छिष्यति	विच्छयिष्यते	विच्छकः	विच्छः	विच्छ्यम्	विच्छनीयम्	विच्छनम्	
1599	मिजि		भाषार्थः (भासार्थः वा)	मिन्ज्	मिञ्जितः	मिञ्जितवान्	मिञ्जयित्वा/मिञ्जित्वा	विमिञ्ज्य	मिञ्जयितुम्/मिञ्जितुम्	मिञ्जयितव्यम्/मिञ्जितव्यम्	मिञ्जयिता/मिञ्जिता	मिञ्जयिष्यति/मिञ्जिष्यति	मिञ्जयिष्यते	मिञ्जकः	मिञ्जः	मिञ्ज्यम्	मिञ्जनीयम्	मिञ्जनम्	
1600	पिजि		भाषार्थः (भासार्थः वा)	पिन्ज्	पिञ्जितः	पिञ्जितवान्	पिञ्जयित्वा/पिञ्जित्वा	विपिञ्ज्य	पिञ्जयितुम्/पिञ्जितुम्	पिञ्जयितव्यम्/पिञ्जितव्यम्	पिञ्जयिता/पिञ्जिता	पिञ्जयिष्यति/पिञ्जिष्यति	पिञ्जयिष्यते	पिञ्जकः	पिञ्जः	पिञ्ज्यम्	पिञ्जनीयम्	पिञ्जनम्	
1601	लुजि		भाषार्थः (भासार्थः वा)	लुन्ज्	लुञ्जितः	लुञ्जितवान्	लुञ्जयित्वा/लुञ्जित्वा	विलुञ्ज्य	लुञ्जयितुम्/लुञ्जितुम्	लुञ्जयितव्यम्/लुञ्जितव्यम्	लुञ्जयिता/लुञ्जिता	लुञ्जयिष्यति/लुञ्जिष्यति	लुञ्जयिष्यते	लुञ्जकः	लुञ्जः	लुञ्ज्यम्	लुञ्जनीयम्	लुञ्जनम्	
1602	भजि		भाषार्थः (भासार्थः वा)	भन्ज्	भञ्जितः	भञ्जितवान्	भञ्जयित्वा/भञ्जित्वा	विभञ्ज्य	भञ्जयितुम्/भञ्जितुम्	भञ्जयितव्यम्/भञ्जितव्यम्	भञ्जयिता/भञ्जिता	भञ्जयिष्यति/भञ्जिष्यति	भञ्जयिष्यते	भञ्जकः	भञ्जः	भञ्ज्यम्	भञ्जनीयम्	भञ्जनम्	
1603	तुजि		भाषार्थः (भासार्थः वा)	तुन्ज्	तुञ्जितः	तुञ्जितवान्	तुञ्जयित्वा/तुञ्जित्वा	वितुञ्ज्य	तुञ्जयितुम्/तुञ्जितुम्	तुञ्जयितव्यम्/तुञ्जितव्यम्	तुञ्जयिता/तुञ्जिता	तुञ्जयिष्यति/तुञ्जिष्यति	तुञ्जयिष्यते	तुञ्जकः	तुञ्जः	तुञ्ज्यम्	तुञ्जनीयम्	तुञ्जनम्	
1604	तुजि		हिंसाबलादाननिकेतनेषु	तुज्	तुञ्जितः	तुञ्जितवान्	तुञ्जयित्वा/तुञ्जित्वा	वितुञ्ज्य	तुञ्जयितुम्/तुञ्जितुम्	तुञ्जयितव्यम्/तुञ्जितव्यम्	तुञ्जयिता/तुञ्जिता	तुञ्जयिष्यति/तुञ्जिष्यति	तुञ्जयिष्यते	तुञ्जकः	तुञ्जः	तुञ्ज्यम्	तुञ्जनीयम्	तुञ्जनम्	
1605	पिजि /तुज/ पिज /लज/ लुजि 	(तुज, पिज इति केचित्; लज, लुजि इत्येके)	हिंसाबलादाननिकेतनेषु	पिन्ज्	पिञ्जितः	पिञ्जितवान्	पिञ्जयित्वा/पिञ्जित्वा	विपिञ्ज्य	पिञ्जयितुम्/पिञ्जितुम्	पिञ्जयितव्यम्/पिञ्जितव्यम्	पिञ्जयिता/पिञ्जिता	पिञ्जयिष्यति/पिञ्जिष्यति	पिञ्जयिष्यते	पिञ्जकः	पिञ्जः	पिञ्ज्यम्	पिञ्जनीयम्	पिञ्जनम्	
1606	छजि		कृच्छ्रजीवने	छन्ज्	छञ्जितः	छञ्जितवान्	छञ्जयित्वा/छञ्जित्वा	विछञ्ज्य	छञ्जयितुम्/छञ्जितुम्	छञ्जयितव्यम्/छञ्जितव्यम्	छञ्जयिता/छञ्जिता	छञ्जयिष्यति/छञ्जिष्यति	छञ्जयिष्यते	छञ्जकः	छञ्जः	छञ्ज्यम्	छञ्जनीयम्	छञ्जनम्	
1607	लजि		भाषार्थः (भासार्थः वा)	लन्ज्	लञ्जितः	लञ्जितवान्	लञ्जयित्वा/लञ्जित्वा	विलञ्ज्य	लञ्जयितुम्/लञ्जितुम्	लञ्जयितव्यम्/लञ्जितव्यम्	लञ्जयिता/लञ्जिता	लञ्जयिष्यति/लञ्जिष्यति	लञ्जयिष्यते	लञ्जकः	लञ्जः	लञ्ज्यम्	लञ्जनीयम्	लञ्जनम्	
1608	अजि		भाषार्थः (भासार्थः वा)	अन्ज्	अञ्जितः	अञ्जितवान्	अञ्जयित्वा/अञ्जित्वा	व्यञ्ज्य	अञ्जयितुम्/अञ्जितुम्	अञ्जयितव्यम्/अञ्जितव्यम्	अञ्जयिता/अञ्जिता	अञ्जयिष्यति/अञ्जिष्यति	अञ्जयिष्यते	अञ्जकः	अञ्जः	अञ्ज्यम्	अञ्जनीयम्	अञ्जनम्	
1609	वटि		विभाजने	वन्ट्	वण्टितः	वण्टितवान्	वण्टयित्वा/वण्टित्वा	प्रवण्ट्य	वण्टयितुम्/वण्टितुम्	वण्टयितव्यम्/वण्टितव्यम्	वण्टयिता/वण्टिता	वण्टयिष्यति/वण्टिष्यति	वण्टयिष्यते	वण्टकः	वण्टः	वण्ट्यम्	वण्टनीयम्	वण्टनम्	
1610	घटि			घन्ट्	घण्टितः	घण्टितवान्	घण्टयित्वा/घण्टित्वा	प्रघण्ट्य	घण्टयितुम्/घण्टितुम्	घण्टयितव्यम्/घण्टितव्यम्	घण्टयिता/घण्टिता	घण्टयिष्यति/घण्टिष्यति	घण्टयिष्यते	घण्टकः	घण्टः	घण्ट्यम्	घण्टनीयम्	घण्टनम्	
1611	पुटि		भाषार्थः (भासार्थः वा)	पुन्ट्	पुण्टितः	पुण्टितवान्	पुण्टयित्वा/पुण्टित्वा	प्रपुण्ट्य	पुण्टयितुम्/पुण्टितुम्	पुण्टयितव्यम्/पुण्टितव्यम्	पुण्टयिता/पुण्टिता	पुण्टयिष्यति/पुण्टिष्यति	पुण्टयिष्यते	पुण्टकः	पुण्टः	पुण्ट्यम्	पुण्टनीयम्	पुण्टनम्	
1612	चुटि		छेदने	चुन्ट्	चुण्टितः	चुण्टितवान्	चुण्टयित्वा/चुण्टित्वा	प्रचुण्ट्य	चुण्टयितुम्/चुण्टितुम्	चुण्टयितव्यम्/चुण्टितव्यम्	चुण्टयिता/चुण्टिता	चुण्टयिष्यति/चुण्टिष्यति	चुण्टयिष्यते	चुण्टकः	चुण्टः	चुण्ट्यम्	चुण्टनीयम्	चुण्टनम्	
1613	शुठि		शोषणे	शुन्ठ्	शुण्ठितः	शुण्ठितवान्	शुण्ठित्वा	प्रशुण्ठ्य	शुण्ठितुम्	शुण्ठितव्यम्	शुण्ठिता	शुण्ठिष्यति		शुण्ठकः	शुण्ठः	शुण्ठ्यम्	शुण्ठनीयम्	शुण्ठनम्	
1614	कठि		शोके, प्रायेण उत्पूर्वः	कन्ठ्	कण्ठितः	कण्ठितवान्	कण्ठयित्वा/कण्ठित्वा	प्रकण्ठ्य	कण्ठयितुम्/कण्ठितुम्	कण्ठयितव्यम्/कण्ठितव्यम्	कण्ठयिता/कण्ठिता	कण्ठयिष्यति/कण्ठिष्यति	कण्ठयिष्यते	कण्ठकः	कण्ठः	कण्ठ्यम्	कण्ठनीयम्	कण्ठनम्	
1615	स्फुडि		परिहासे	स्फुन्ड्	स्फुण्डितः	स्फुण्डितवान्	स्फुण्डयित्वा/स्फुण्डित्वा	प्रस्फुण्ड्य	स्फुण्डयितुम्/स्फुण्डितुम्	स्फुण्डयितव्यम्/स्फुण्डितव्यम्	स्फुण्डयिता/स्फुण्डिता	स्फुण्डयिष्यति/स्फुण्डिष्यति	स्फुण्डयिष्यते	स्फुण्डकः	स्फुण्डः	स्फुण्ड्यम्	स्फुण्डनीयम्	स्फुण्डनम्	
1616	ओलडि		उत्क्षेपे	लन्ड्	लण्डितः	लण्डितवान्	लण्डयित्वा/लण्डित्वा	प्रलण्ड्य	लण्डयितुम्/लण्डितुम्	लण्डयितव्यम्/लण्डितव्यम्	लण्डयिता/लण्डिता	लण्डयिष्यति/लण्डिष्यति	लण्डयिष्यते	लण्डकः	लण्डः	लण्ड्यम्	लण्डनीयम्	लण्डनम्	
1617	खडि		भेदने	खन्ड्	खण्डितः	खण्डितवान्	खण्डयित्वा/खण्डित्वा	प्रखण्ड्य	खण्डयितुम्/खण्डितुम्	खण्डयितव्यम्/खण्डितव्यम्	खण्डयिता/खण्डिता खण्डयिष्यति/खण्डिष्यति	खण्डयिष्यते	खण्डकः	खण्डः	खण्ड्यम्	खण्डनीयम्	खण्डनम्		
1618	कडि		भेदने	कन्ड्	कण्डितः	कण्डितवान्	कण्डयित्वा/कण्डित्वा	प्रकण्ड्य	कण्डयितुम्/कण्डितुम्	कण्डयितव्यम्/कण्डितव्यम्	कण्डयिता/कण्डिता	कण्डयिष्यति/कण्डिष्यति	कण्डयिष्यते	कण्डकः	कण्डः	कण्ड्यम्	कण्डनीयम्	कण्डनम्	
1619	कुडि		रक्षणे	कुडि	कुण्डितः	कुण्डितवान्	कुण्डयित्वा/कुण्डित्वा	प्रकुण्ड्य	कुण्डयितुम्/कुण्डितुम्	कुण्डयितव्यम्/कुण्डितव्यम्	कुण्डयिता/कुण्डिता	कुण्डयिष्यति/कुण्डिष्यति	कुण्डयिष्यते	कुण्डकः	कुण्डः	कुण्ड्यम्	कुण्डनीयम्	कुण्डनम्	
1620	गुडि		वेष्टने	गुन्ड्	गुण्डितः	गुण्डितवान्	गुण्डयित्वा/गुण्डित्वा	प्रगुण्ड्य	गुण्डयितुम्/गुण्डितुम्	गुण्डयितव्यम्/गुण्डितव्यम्	गुण्डयिता/गुण्डिता	गुण्डयिष्यति/गुण्डिष्यति	गुण्डयिष्यते	गुण्डकः	गुण्डः	गुण्ड्यम्	गुण्डनीयम्	गुण्डनम्	
1621	खुडि		खण्डने	खुन्ड्	खुण्डितः	खुण्डितवान्	खुण्डयित्वा/खुण्डित्वा	प्रखुण्ड्य	खुण्डयितुम्/खुण्डितुम्	खुण्डयितव्यम्/खुण्डितव्यम्	खुण्डयिता/खुण्डिता	खुण्डयिष्यति/खुण्डिष्यति	खुण्डयिष्यते	खुण्डकः	खुण्डः	खुण्ड्यम्	खुण्डनीयम्	खुण्डनम्	
1622	मडि		भूषायाम् हर्षे च	मन्ड्	मण्डितः	मण्डितवान्	मण्डयित्वा/मण्डित्वा	प्रमण्ड्य	मण्डयितुम्/मण्डितुम्	मण्डयितव्यम्/मण्डितव्यम्	मण्डयिता/मण्डिता	मण्डयिष्यति/मण्डिष्यति	मण्डयिष्यते	मण्डकः	मण्डः	मण्ड्यम्	मण्डनीयम्	मण्डनम्	
1623	भडि		कल्याणे	भन्ड्	भण्डितः	भण्डितवान्	भण्डयित्वा/भण्डित्वा	प्रभण्ड्य	भण्डयितुम्/भण्डितुम्	भण्डयितव्यम्/भण्डितव्यम्	भण्डयिता/भण्डिता	भण्डयिष्यति/भण्डिष्यति	भण्डयिष्यते	भण्डकः	भण्डः	भण्ड्यम्	भण्डनीयम्	भण्डनम्	
1624	पडि		नाशने	पन्ड्	पण्डितः	पण्डितवान्	पण्डयित्वा/पण्डित्वा	प्रपण्ड्य	पण्डयितुम्/पण्डितुम्	पण्डयितव्यम्/पण्डितव्यम्	पण्डयिता/पण्डिता	पण्डयिष्यति/पण्डिष्यति	पण्डयिष्यते	पण्डकः	पण्डः	पण्ड्यम्	पण्डनीयम्	पण्डनम्	
1625	पिडि		सङ्घाते (धारणे इति काशकृत्स्नः)	पिन्ड्	पिण्डितः	पिण्डितवान्	पिण्डयित्वा/पिण्डित्वा	प्रपिण्ड्य	पिण्डयितुम्/पिण्डितुम्	पिण्डयितव्यम्/पिण्डितव्यम्	पिण्डयिता/पिण्डिता	पिण्डयिष्यति/पिण्डिष्यति	पिण्डयिष्यते	पिण्डकः	पिण्डः	पिण्ड्यम्	पिण्डनीयम्	पिण्डनम्	
1626	लडि		भाषार्थः (भासार्थः वा)	लन्ड्	लण्डितः	लण्डितवान्	लण्डयित्वा/लण्डित्वा	प्रलण्ड्य	लण्डयितुम्/लण्डितुम्	लण्डयितव्यम्/लण्डितव्यम्	लण्डयिता/लण्डिता	लण्डयिष्यति/लण्डिष्यति	लण्डयिष्यते	लण्डकः	लण्डः	लण्ड्यम्	लण्डनीयम्	लण्डनम्	
1627	चिति		स्मृत्याम्	चिन्त्	चिन्तितः	चिन्तितवान्	चिन्तयित्वा/चिन्तित्वा	विचिन्त्य	चिन्तयितुम्/चिन्तितुम्	चिन्तयितव्यम्/चिन्तितव्यम्	चिन्तयिता/चिन्तिता	चिन्तयिष्यति/चिन्तिष्यति	चिन्तयिष्यते	चिन्तकः	चिन्तः	चिन्त्यम्	चिन्तिनीयम्	चिन्तनम्	
1628	पथि		गतौ	पन्थ्	पन्थितः	पन्थितवान्	पन्थयित्वा/पन्थित्वा	विपन्थ्य	पन्थयितुम्/पन्थितुम्	पन्थयितव्यम्/पन्थितव्यम्	पन्थयिता/पन्थिता	पन्थयिष्यति/पन्थिष्यति	पन्थयिष्यते	पन्थकः	पन्थः	पन्थ्यम्	पन्थनीयम्	पन्थनम्	
1629	ग्रन्थ		बन्धने	ग्रन्थ्	ग्रन्थितः	ग्रन्थितवान्	ग्रन्थयित्वा/ग्रन्थित्वा	विग्रन्थ्य	ग्रन्थयितुम्/ग्रन्थितुम्	ग्रन्थयितव्यम्/ग्रन्थितव्यम्	ग्रन्थयिता/ग्रन्थिता	ग्रन्थयिष्यति/ग्रन्थिष्यति	ग्रन्थयिष्यते	ग्रन्थकः	ग्रन्थः	ग्रन्थ्यम्	ग्रन्थनीयम्	ग्रन्थनम्	
1630	ग्रन्थ		सन्दर्भे	ग्रन्थ्	ग्रन्थितः	ग्रन्थितवान्	ग्रन्थयित्वा/ग्रन्थित्वा	विग्रन्थ्य	ग्रन्थयितुम्/ग्रन्थितुम्	ग्रन्थयितव्यम्/ग्रन्थितव्यम्	ग्रन्थयिता/ग्रन्थिता	ग्रन्थयिष्यति/ग्रन्थिष्यति	ग्रन्थयिष्यते	ग्रन्थकः	ग्रन्थः	ग्रन्थ्यम्	ग्रन्थनीयम्	ग्रन्थनम्	
1631	श्रन्थ		सन्दर्भे	श्रन्थ्	श्रन्थितः	श्रन्थितवान्	श्रन्थयित्वा/श्रन्थित्वा	विश्रन्थ्य	श्रन्थयितुम्/श्रन्थितुम्	श्रन्थयितव्यम्/श्रन्थितव्यम्	श्रन्थयिता/श्रन्थिता	श्रन्थयिष्यति/श्रन्थिष्यति	श्रन्थयिष्यते	श्रन्थकः	श्रन्थः	श्रन्थ्यम्	श्रन्थनीयम्	श्रन्थनम्	
1632	अर्थ		उपयाच्ञायाम्	अर्थ्	अर्थितः	अर्थितवान्	अर्थयित्वा अर्थित्वा	प्रार्थ्य	अर्थयितुम् अर्थितुम्	अर्थयितव्यम् अर्थितव्यम्	अर्थयिता अर्थिता	अर्थयिष्यति अर्थिष्यति	अर्थयिष्यते	अर्थकः	अर्थः	अर्थ्यम्	अर्थनीयम्	अर्थनम्	
1633	मिदि		स्नेहने	मिन्द्	मिन्दितः	मिन्दितवान्	मिन्दयित्वा/मिन्दित्वा	प्रमिन्द्य	मिन्दयितुम्/मिन्दितुम्	मिन्दयितव्यम्/मिन्दितव्यम्	मिन्दयिता/मिन्दिता	मिन्दयिष्यति/मिन्दिष्यति	मिन्दयिष्यते	मिन्दकः	मिन्दः	मिन्द्यम्	मिन्दनीयम्	मिन्दनम्	
1634	छदि		संवरणे	छन्द्	छन्दितः	छन्दितवान्	छन्दयित्वा/छन्दित्वा	प्रछन्द्य	छन्दयितुम्/छन्दितुम्	छन्दयितव्यम्/छन्दितव्यम्	छन्दयिता/छन्दिता	छन्दयिष्यति/छन्दिष्यति	छन्दयिष्यते	छन्दकः	छन्दः	छन्द्यम्	छन्दनीयम्	छन्दनम्	
1635	अर्द		हिंसायाम्	अर्द्	अर्दितः	अर्दितवान्	अर्दयित्वा/अर्दित्वा	प्रार्द्य	अर्दयितुम्/अर्दितुम्	अर्दयितव्यम्/अर्दितव्यम्	अर्दयिता/अर्दिता	अर्दयिष्यति/अर्दिष्यति	अर्दयिष्यते	अर्दकः	अर्दः	अर्द्यम्	अर्दनीयम्	अर्दनम्	
1636	शुन्ध		शौचकर्मणि	शुन्ध्	शुन्धितः	शुन्धितवान्	शुन्धयित्वा/शुन्धित्वा	विशुन्ध्य	शुन्धयितुम्/शुन्धितुम्	शुन्धयितव्यम्/शुन्धितव्यम्	शुन्धयिता/शुन्धिता	शुन्धयिष्यति/शुन्धिष्यति	शुन्धयिष्यते	शुन्धकः	शुन्धः	शुन्ध्यम्	शुन्धनीयम्	शुन्धनम्	
1637	मान		पूजायाम्	मान्	मानितः	मानितवान्	मानयित्वा/मानित्वा	विमान्य	मानयितुम्/मानितुम्	मानयितव्यम्/मानितव्यम्	मानयिता/मानिता	मानयिष्यति/मानिष्यति	मानयिष्यते	मानकः	मानः	मान्यम्	माननीयम्	माननम्	
1638	आपॢ		लम्भने	आप्	आपितः	आपितवान्	आपयित्वा/आपित्वा	व्याप्य	आपयितुम्/आपितुम्	आपयितव्यम्/आपितव्यम्	आपयिता/आपिता	आपयिष्यति/आपिष्यति	आपयिष्यते	आपकः	आपः	आप्यम्	आपनीयम्	आपनम्	
1639	धूप		भाषार्थः (भासार्थः वा)	धूप्	धूपितः	धूपितवान्	धूपयित्वा/धूपित्वा	विधूप्य	धूपयितुम्/धूपितुम्	धूपयितव्यम्/धूपितव्यम्	धूपयिता/धूपिता	धूपयिष्यति/धूपिष्यति	धूपयिष्यते	धूपकः	धूपः	धूप्यम्	धूपनीयम्	धूपनम्	
1640	चपि		गत्याम्	चम्प्	चम्पितः	चम्पितवान्	चम्पयित्वा चम्पित्वा	विचम्प्य	चम्पयितुम् चम्पितुम्	चम्पयितव्यम् चम्पितव्यम्	चम्पयिता चम्पिता	चम्पयिष्यति चम्पिष्यति		चम्पकः	चम्पः	चम्प्यम्	चम्पनीयम्	चम्पनम्	
1641	क्षपि		क्षान्त्याम्	क्षम्प्	क्षम्पितः	क्षम्पितवान्	क्षम्पित्वा	क्षम्प्य	क्षम्पितुम्	क्षम्पितव्यम्	क्षम्पिता	क्षम्पिष्यति		क्षम्पकः	क्षम्पः	क्षम्प्यम्	क्षम्पनीयम्	क्षम्पनम्	
1642	चुबि		हिंसायाम्	चुम्ब्	चुम्बितः	चुम्बितवान्	चुम्बयित्वा/चुम्बित्वा	विचुम्ब्य	चुम्बयितुम्/चुम्बितुम्	चुम्बयितव्यम्/चुम्बितव्यम्	चुम्बयिता/चुम्बिता	चुम्बयिष्यति/चुम्बिष्यति	चुम्बयिष्यते	चुम्बकः	चुम्बः	चुम्ब्यम्	चुम्बनीयम्	चुम्बनम्	
1643	कुबि		आच्छादने	कुम्ब्	कुम्बितः	कुम्बितवान्	कुम्बयित्वा/कुम्बित्वा	विकुम्ब्य	कुम्बयितुम्/कुम्बितुम्	कुम्बयितव्यम्/कुम्बितव्यम्	कुम्बयिता/कुम्बिता	कुम्बयिष्यति/कुम्बिष्यति	कुम्बयिष्यते	कुम्बकः	कुम्बः	कुम्ब्यम्	कुम्बनीयम्	कुम्बनम्	
1644	लुबि		अदर्शने	लुम्ब्	लुम्बितः	लुम्बितवान्	लुम्बयित्वा/लुम्बित्वा	विलुम्ब्य	लुम्बयितुम्/लुम्बितुम्	लुम्बयितव्यम्/लुम्बितव्यम्	लुम्बयिता/लुम्बिता	लुम्बयिष्यति/लुम्बिष्यति	लुम्बयिष्यते	लुम्बकः	लुम्बः	लुम्ब्यम्	लुम्बनीयम्	लुम्बनम्	
1645	तुबि		अदर्शने	तुम्ब्	तुम्बितः	तुम्बितवान्	तुम्बयित्वा/तुम्बित्वा	वितुम्ब्य	तुम्बयितुम्/तुम्बितुम्	तुम्बयितव्यम्/तुम्बितव्यम्	तुम्बयिता/तुम्बिता	तुम्बयिष्यति/तुम्बिष्यति	तुम्बयिष्यते	तुम्बकः	तुम्बः	तुम्ब्यम्	तुम्बनीयम्	तुम्बनम्	
1646	जभि		नाशने	जम्भ्	जम्भितः	जम्भितवान्	जम्भित्वा	विजम्भ्य	जम्भयितुम्/जम्भितुम्	जम्भयितव्यम्/जम्भितव्यम्	जम्भयिता/जम्भिता	जम्भयिष्यति/जम्भिष्यति	जम्भयिष्यते	जम्भकः	जम्भः	जम्भ्यम्	जम्भनीयम्	जम्भनम्	
1647	कत्र	(कर्त इत्येके)	शैथिल्ये	कत्र्	कत्रितः	कत्रितवान्	कत्रयित्वा/कत्रित्वा	विकत्र्य	कत्रयितुम्/कत्रितुम्	कत्रयितव्यम्/कत्रितव्यम्	कत्रयिता/कत्रिता	कत्रयिष्यति/कत्रिष्यति	कत्रयिष्यते	कत्रकः	कत्रः	कत्र्यम्	कत्रणीयम्	कत्रणम्	
1647	कर्त	(कर्त इत्येके)	शैथिल्ये	कर्तितः	कर्तितवान्	कर्तयित्वा/कर्तित्वा कर्तित्वा	विकर्त्य	कर्तयितुम्/कर्तितुम्	कर्तयितव्यम्/कर्तितव्यम्	कर्तयिता/कर्तिता	कर्तयिष्यति/कर्तिष्यति	कर्तयिष्यते	कर्तकः	कर्तः	कर्त्यम्	कर्तनीयम्	कर्तनम्		
1648	मूत्र		प्रस्रवणे	मूत्र्	मूत्रितः	मूत्रितवान्	मूत्रयित्वा/मूत्रित्वा	विमूत्र्य	मूत्रयितुम्/मूत्रितुम्	मूत्रयितव्यम्/मूत्रितव्यम्	मूत्रयिता/मूत्रिता	मूत्रयिष्यति/मूत्रिष्यति	मूत्रयिष्यते	मूत्रकः	मूत्रः	मूत्र्यम्	मूत्रिणीयम्	मूत्रणम्	
1649	ईर		क्षेपे	ईर्	ईरितः	ईरितवान्	ईरयित्वा/ईरित्वा	प्रेर्य	ईरयितुम्/ईरितुम्	ईरयितव्यम्/ईरितव्यम्	ईरयिता/ईरिता	ईरयिष्यति/ईरिष्यति	ईरयिष्यते	ईरकः	ईरः	ईर्यम्	ईरणीयम्	ईरिणम्	
1650	पूरी		आप्यायने	पूर्	पूरितः	पूरितवान्	पूरयित्वा/पूरित्वा	प्रपूर्य	पूरितुम्/पूरितुम्	पूरयितव्यम्/पूरितव्यम्	पूरयिता/पूरिता	पूरयिष्यति/पूरिष्यति	पूरयिष्यते	पूरकः	पूरः	पूर्यम्	पूरणीयम्	पूरणम्	
1651	चीव		भाषार्थः (भासार्थः वा)	चीव्	चीवितः	चीवितवान्	चीवयित्वा/चीवित्वा	प्रचीव्य	चीवयितुम्/चीवितुम्	चीवयितव्यम्/चीवितव्यम्	चीवयिता/चीविता	चीवयिष्यति/चीविष्यति	चीवयिष्यते	चीवकः	चीवः	चीव्यम्	चीवनीयम्	चीवनम्	
1652	गर्व		माने	गर्व्	गर्वितः	गर्वितवान्	गर्वयित्वा/गर्वित्वा	प्रगर्व्य	गर्वयितुम्/गर्वितुम्	गर्वयितव्यम्/गर्वितव्यम्	गर्वयिता/गर्विता	गर्वयिष्यते	गर्विष्यति	गर्वकः	गर्वः	गर्व्यम्	गर्विणीयम्	गर्वणम्	
1653	दशि		दंशने	दंश्	दंशितः	दंशितवान्	दंशयित्वा/दंशित्वा	विदंश्य	दंशयितुम्/दंशितुम्	दंशयितव्यम्/दंशितव्यम्	दंशयिता/दंशिता	दंशयिष्यति दंशिष्यति	दंशयिष्यते	दंशकः	दंशः	दंश्यम्	दंशनीयम्	दंशनम्	
1654	दशि		भाषार्थः (भासार्थः वा)	दंश्	दंशितः	दंशितवान्	दंशयित्वा/दंशित्वा	विदंश्य	दंशयितुम्/दंशितुम्	दंशयितव्यम्/दंशितव्यम्	दंशयिता/दंशिता	दंशयिष्यति/दंशिष्यति	दंशयिष्यते	दंशकः	दंशः	दंश्यम्	दंशनीयम्	दंशनम्	
1655	कुशि		भाषार्थः (भासार्थः वा)	कुंश्	कुंशितः	कुंशितवान्	कुंशयित्वा/कुंशित्वा	विकुंश्य	कुंशयितुम्/कुंशितुम्	कुंशयितव्यम्/कुंशितव्यम्	कुंशयिता/कुंशिता	कुंशयिष्यति/कुंशिष्यति	कुंशिष्यते	कुंशकः	कुंशः	कुंश्यम्	कुंशनीयम्	कुंशनम्	
1656	भृशि		भाषार्थः (भासार्थः वा)	भृंश्	भृंशितः	भृंशितवान्	भृंशयित्वा/भृंशित्वा	विभृंश्य	भृंशयितुम्/भृंशितुम्	भृंशयितव्यम्/भृंशितव्यम्	भृंशयिता/भृंशिता	भृंशयिष्यति/भृंशिष्यति	भृंशयिष्यते	भृंशकः	भृंशः	भृंश्यम्	भृंशनीयम्	भृंशनम्	
