नाम	अक्षराणि	विषमे-स्वराः	विषमयोर् मात्राः	समे-सङ्ख्या	समयोर् मात्राः	प्रसिद्धिः	पादयोर् आदिसाम्यम्	पादयोः अन्त्यसाम्यम्	जातिः	जातिः २	लक्षणम्	लक्षणमूलम्	उदाहरणम्	मुख्यांशः
अनालेपनम्	54	14	द द द दा द द द दा दा द दा दा द दा	13	द द द दा दा द दा दा द दा दा द दा		द द द दा	द दा दा द दा दा द दा						
लास्यलीला	54	14	दा द द द द दा दा दा द दा दा द दा दा	13	दा दा द द दा दा दा द दा दा द दा दा		दा	द द दा दा दा द दा दा द दा दा						
सम्मदाक्रान्ता	54	14	दा दा दा द द दा द दा द दा द दा दा दा	13	द द दा द द दा द दा द दा द दा दा			दा दा						
बृहच्छरावती	54	15	द द दा दा द द द द द द दा द दा द दा	12	द द द द द द दा द दा द दा दा		द द	दा						
अहीनताली	56	12	दा दा दा द द द द दा द दा द दा	16	द द दा दा द द द द दा द दा द दा द दा दा			दा						
हीनताली	56	16	द द दा दा द द द द दा द दा द दा द दा दा	12	दा दा दा द द द द दा द दा द दा			दा						
परप्रीणिता	58	13	द द द द द द दा दा द दा दा द दा	16	द द द द द द द द दा दा दा द दा दा द दा		द द द द द द	दा दा द दा दा द दा						
अवरोधवनिता	58	14	द द द दा द द दा द द दा द दा द दा	15	द द दा द द दा द दा द दा द द द दा दा		द द	दा						
प्रमोदपरिणीता	58	14	द द द द द द दा द दा द दा द दा दा	15	द द द द दा द द दा द दा द द द दा दा		द द द द	द दा दा						
अवरोधवनिता	58	15	द द दा द द दा द दा द दा द द द दा दा	14	द द द दा द द दा द द दा द दा द दा		द द	दा						
प्रमोदपदम्	58	15	द द द द दा द द दा द दा द द द दा दा	14	द द द द द द दा द दा द दा द दा दा		द द द द	द दा दा						
अपरप्रीणिता	58	16	द द द द द द द द दा दा दा द दा दा द दा	13	द द द द द द दा दा द दा दा द दा		द द द द द द	दा दा द दा दा द दा						
आसववासिता	62	15	द द द दा द द द दा द दा द दा द दा दा	16	द द दा दा द द दा द दा द दा द द द दा दा		द द	द दा दा						
अनासववासिता	62	16	द द दा दा द द दा द दा द दा द द द दा दा	15	द द द दा द द द दा द दा द दा द दा दा		द द	द दा दा						
मार्दङ्गी	64	14	द द दा द द द द द दा द द द दा दा	18	दा दा दा द द द द दा द द द द द द द द दा दा			द द द दा दा						
वासववासिनी	64	16	द द द द दा द दा द द द दा द द दा द दा	16	दा दा द द दा द दा द द द दा द द दा द दा			द द दा द दा द द द दा द द दा द दा						
वासिनी	64	16	दा दा द द दा द दा द द द दा द द दा द दा	16	द द द द दा द दा द द द दा द द दा द दा			द द दा द दा द द द दा द द दा द दा						
मार्दङ्गी	64	18	दा दा दा द द द द दा द द द द द द द द दा दा	14	द द दा द द द द द दा द द द दा दा			द द द दा दा
