नाम	अक्षराणि	पादेऽक्षराणि	मात्रा-विन्यासः	प्रसिद्धिः	स्मरण-सुलभता	यतिः	मात्राः	लक्षणम्	लक्षणमूलम्	उदाहरणम्	टिप्पणिः	जातयः	गणविन्यासः	गानम्	भाव-रसौचित्यम्
मदनललिता	64	16	दा दा दा दा द द द द द दा दा दा द द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
मालावलयम्	64	16	दा दा दा दा द द द द दा दा द द द द दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
माल्योपस्थम्	64	16	द द द द द द द द द द दा दा दा दा दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
वक्रावलोकः	64	16	द द द द द द दा दा दा दा द दा दा द दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
वलिवदनम्	64	16	द द द द दा दा दा दा दा दा द द द द दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
शिशुभरणम्	64	16	द द द द द द द द द द द द द द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
सारवरोहा	64	16	दा द द दा दा द द द द दा दा द द द द दा				22		आनन्दमिश्र-जालक्षेत्रम्						
सूतशिखा	64	16	दा दा द द दा दा द द दा दा द द द द दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
अचलनयनम्	68	17	द द द द द द द द द द द द द द द द द				17		आनन्दमिश्र-जालक्षेत्रम्						
अतिशायिनी	68	17	द द दा द द दा द दा द दा द द द दा द दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
कर्णस्फोटम्	68	17	द द द द दा दा दा दा द द द द दा दा दा दा द				25		आनन्दमिश्र-जालक्षेत्रम्						
कान्तारम्	68	17	द दा दा दा दा दा द द द द द दा दा द दा दा द				26		आनन्दमिश्र-जालक्षेत्रम्						
कामरूपम्	68	17	दा दा दा दा द दा दा द द द द द दा दा द दा दा				27		आनन्दमिश्र-जालक्षेत्रम्						
कालसारोद्धतः	68	17	द दा द दा दा द द दा द द द दा द दा दा द दा				25		आनन्दमिश्र-जालक्षेत्रम्						
कासारम्	68	17	दा दा दा दा दा दा दा दा द द द द दा दा द द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
क्रूराशनम्	68	17	दा दा द द द द दा दा द द द द द द दा दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
तितिक्षा	68	17	दा द द द द द द दा दा द द द द द द दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
प्रतीहारः	68	17	दा द दा दा द दा दा द दा दा द दा दा द दा दा द				28		आनन्दमिश्र-जालक्षेत्रम्						
फल्गुः	68	17	द द दा दा द द द द दा दा द द द द दा दा द				23		आनन्दमिश्र-जालक्षेत्रम्						
बालविक्रीडितम्	68	17	दा द द द द दा द दा द द द दा द दा दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
भाराक्रान्ता	68	17	दा दा दा दा द द द द द दा द दा द द दा द दा				25		आनन्दमिश्र-जालक्षेत्रम्			 दा द दा द द दा द दा।			
मानाक्रान्ता	68	17	दा दा दा दा दा दा दा दा दा दा दा दा दा दा दा दा दा				34		आनन्दमिश्र-जालक्षेत्रम्						
मालाधरः	68	17	द द द द द दा द दा द द द दा द दा दा द दा				23		आनन्दमिश्र-जालक्षेत्रम्						
वल्वजम्	68	17	दा द द दा द द दा दा द द द द द द दा दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
वंशलः	68	17	दा द द दा दा द द दा द द दा द द दा द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
वाहान्तरितम्	68	17	दा दा द द द द दा द द दा द द द द द द दा				22		आनन्दमिश्र-जालक्षेत्रम्						
विधुरविरहिता	68	17	द द दा दा दा द द दा दा दा द द द द द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
विरुदरुतम्	68	17	दा दा दा दा द द द द दा दा द द दा दा द द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
वीरविश्रामः	68	17	द द द द द द दा द दा द द द दा द दा दा दा				23		आनन्दमिश्र-जालक्षेत्रम्						
शायिनी	68	17	द द द द द दा द दा द दा द द द दा द दा दा				23		आनन्दमिश्र-जालक्षेत्रम्						
शुकवनिता	68	17	द द दा द द दा दा द द दा द द द द द द दा				22		आनन्दमिश्र-जालक्षेत्रम्						
सलेखा	68	17	द द द द द द दा दा दा द द द द द द दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
करिणी	72	18	द द दा द द द द दा द द द द दा द द द द दा						गणेशः https://www.facebook.com/kedar.nath.5832/posts/1224555087573284?comment_id=1224753960886730&reply_comment_id=1224807120881414&ref=notif&notif_t=mentions_comment	अतिभीषणकटुभाषणयमकिंकरपटली कृतताडनपरिपीडनमरणागतसमये । उमया सह मम चेतसि यमशासन निवसन् हर शंकर शिव शंकर हर मे हर दुरितम् 		द द दा द द
अर्धान्तरालापि	72	18	दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द				30		आनन्दमिश्र-जालक्षेत्रम्						
अश्वगतिः	72	18	दा द द दा द द दा द द दा द द दा द द द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
क्रीडचन्द्रम्	72	18	द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
क्रोडक्रीडम्	72	18	दा दा दा दा द द द द द द द द दा द दा दा द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
चन्द्रलेखा	72	18	दा दा दा दा द द द द द द दा दा द दा दा द दा दा				28		आनन्दमिश्र-जालक्षेत्रम्						
तुमुलकम्	72	18	द द द द द द द द द द द द द द द द द द				18		आनन्दमिश्र-जालक्षेत्रम्						
दण्डी	72	18	दा दा द द द द दा दा द द द द दा दा द द द दा				25		आनन्दमिश्र-जालक्षेत्रम्						
नन्दनम्	72	18	द द द द दा द दा द द द दा द दा द दा दा द दा				25		आनन्दमिश्र-जालक्षेत्रम्						
नाराचम्	72	18	द द द द द द दा द दा दा द दा दा द दा दा द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
नीलशार्दूलम्	72	18	द द द द द द दा दा दा द दा दा द दा दा द दा दा				27		आनन्दमिश्र-जालक्षेत्रम्						
पतङ्गपादः	72	18	द दा द दा दा द दा दा द दा दा द दा दा द दा दा द				29		आनन्दमिश्र-जालक्षेत्रम्						
परामोदः	72	18	द दा दा द द दा द द दा द दा द द द द दा दा दा				26		आनन्दमिश्र-जालक्षेत्रम्						
परिपोषकम्	72	18	द द दा द द दा द द दा द द दा द द दा द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
पर्विणी	72	18	द द द द द द दा द दा द द द दा द दा दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
पार्थिवम्	72	18	द दा द द द दा द दा द द द दा द द द दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
मञ्जीरा	72	18	दा दा दा दा दा दा दा द द दा दा दा द द दा दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
मत्तकोकिलम् | मल्लिकामाला	72	18	दा द दा द द दा द दा द द दा द दा द द दा द दा	५		(१०, ८)	26		आनन्दमिश्र-जालक्षेत्रम्	पालयाच्युत पालयाजित पालया कमलालय .... (कृष्णाष्टके)  मध्वमानसपद्मभानुसमं स्मरप्रतिमं स्मर स्निग्दनिर्मलशीतकांतिलसन्मुखं करुणोन्मुखम्। हृद्यकंबुसमानकंधरमक्षयं दुरितक्षयं स्निग्धसंस्तुतरौप्यपीठकृतालयं हरिमालयम् ॥१॥  		लयः। दा द दा द द दा द दा।			
वसुपदमञ्जरी	72	18	द द द द दा द दा द द द दा द द दा द दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
विलुलितवनमाला	72	18	द द द द द द दा दा दा द द द द द द दा दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
शार्दूलललितम्	72	18	दा दा दा द द दा द दा द द द दा दा दा द द द दा				27		आनन्दमिश्र-जालक्षेत्रम्						
षट्पदेरितम्	72	18	द द द दा द दा द द द दा द दा द द द दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
सत्केतुः	72	18	दा दा दा द द द द द द द दा द दा द दा द दा दा				26		आनन्दमिश्र-जालक्षेत्रम्						
सिन्धुसौवीरम्	72	18	दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा				30		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
हरिणप्लुतम्	72	18	दा दा दा द द दा द दा द द दा द दा द द दा द दा				27		आनन्दमिश्र-जालक्षेत्रम्						
हीरकहारधरम्	72	18	दा द द दा द द दा द द दा द द दा द द दा द द				24		आनन्दमिश्र-जालक्षेत्रम्						
वायुवेगः	76	19	दा दा दा द द दा द दा द द द दा। द द द द दा द दा					मसजसनजगवः	कविना नञ्जुण्डेन विरचितायां वृत्तरत्नावल्याम् ।	आत्मीयस्य जनस्य चेष्टितमतिप्रियमिति भासते निन्द्यं वास्तु तथापि मान्यमखिलं यदवधि सौहृदम्। शीर्षाच्चेद्गलितं गतं पदतलं यदपि विधेर्वशात् प्राग्वृत्तं तदरातिभावमयते विलपति सौहृदम्॥ राघवीयम् २३॥					
कलापदीपकम्	76	19	दा द दा द दा द दा द दा द दा द दा द दा द दा द दा				29		आनन्दमिश्र-जालक्षेत्रम्						
कल्पलतापताकिनी	76	19	दा दा दा द द द द द द द द दा द द दा द दा द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
किरणकीर्त्तिः	76	19	दा दा द द दा द दा दा द दा द द द द द द द दा दा				27		आनन्दमिश्र-जालक्षेत्रम्						
ग्रावास्तरणम्	76	19	दा दा दा दा द द द द दा दा द द दा दा दा दा द द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
छाया	76	19	द दा दा दा दा दा द द द द द दा दा दा द दा दा द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
झिल्लीलीला	76	19	द द द द दा दा दा दा दा दा दा दा द दा द दा दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
टङ्कणम्	76	19	दा द दा द द द दा द दा द द द दा द दा द द द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
धवलम्	76	19	द द द द द द द द द द द द द द द द द द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
निर्गलितमेखला	76	19	द द द द द द दा द दा द द द दा द द द दा द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
प्रपञ्चचामरम्	76	19	द द द द द द दा द दा द दा द दा द दा द दा द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
फुल्लदाम	76	19	दा दा दा दा दा द द द द द द दा दा द दा दा द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
माराभिसरणम्	76	19	दा दा द द द द दा दा दा दा द द द द दा द दा दा दा				29		आनन्दमिश्र-जालक्षेत्रम्						
लोललोलम्बलीलम्	76	19	दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
विधुनिधुवनम्	76	19	दा दा दा द द द द द द दा दा द द द द दा दा दा दा				28		आनन्दमिश्र-जालक्षेत्रम्						
शम्भुः	76	19	द द दा दा दा द द दा दा दा द द दा दा दा दा दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
शिलीमुखोज्जृम्भितम्	76	19	दा दा दा द द दा द दा द द द द द दा द दा दा द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
सुरसा	76	19	दा दा दा दा द दा दा द द द द द द दा दा द द द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
मत्तेभविक्रीडितम्	80	20	द द दा दा द द दा द दा द द द दा दा दा द दा दा द दा	४			30		आनन्दमिश्र-जालक्षेत्रम्				त भ य ज स र न ग		
अवन्ध्योपचारः	80	20	द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा				33		आनन्दमिश्र-जालक्षेत्रम्						
उत्पलमालिका	80	20	दा द द दा द दा द द द दा द द दा द द दा द दा द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
गीतिका	80	20	द द दा द दा द द दा द दा द द दा द दा द द दा द दा				28		आनन्दमिश्र-जालक्षेत्रम्			लयः। द द दा द दा।			
भारावतारः	80	20	द द द दा दा द द दा द द द द द द द दा दा द दा दा				27		आनन्दमिश्र-जालक्षेत्रम्						
भूरिशोभा	80	20	दा दा दा दा दा दा द द द द द द दा दा द दा दा द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
भेकालोकः	80	20	दा द द दा दा दा दा दा दा दा दा द द द द द द दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
वाणीवाणः	80	20	दा दा दा दा द द द द दा दा द द दा दा द द दा दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
विष्वग्वितानम्	80	20	दा दा द दा द द द दा द द द द दा दा द दा दा द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
वीरविमानम्	80	20	दा द द दा द द दा द द दा द द दा द द दा द द दा दा				28		आनन्दमिश्र-जालक्षेत्रम्						
शोभा	80	20	द दा दा दा दा दा द द द द द द दा दा द दा दा द दा दा				31		आनन्दमिश्र-जालक्षेत्रम्						
संलक्ष्यलीला	80	20	द द द दा द दा द द द दा द दा द द द दा दा द दा दा				28		आनन्दमिश्र-जालक्षेत्रम्						
सौरभशोभासारः	80	20	दा द द दा दा दा दा दा द द द द द द दा द द द द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
अशोकलोकः	84	21	दा दा दा दा दा दा दा दा दा दा दा दा दा दा द दा द दा दा दा दा				40		आनन्दमिश्र-जालक्षेत्रम्						
कनकमालिका	84	21	दा द दा द द द दा द दा द द द दा द दा द द द दा द दा				29		आनन्दमिश्र-जालक्षेत्रम्						
कमलशिखा	84	21	द द द द दा दा दा दा दा दा द द द द दा द द दा द द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
कलमतल्लिका	84	21	द द द दा द दा द द द दा द दा द द द दा द दा दा द दा				29		आनन्दमिश्र-जालक्षेत्रम्						
तडिदम्बरम्	84	21	दा द द दा द द दा द द दा द द दा द द दा द द दा द द				28		आनन्दमिश्र-जालक्षेत्रम्						
तल्पकतल्लजम्	84	21	दा द द दा द द दा द द दा द द दा द द द दा द दा दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
दूरावलोकः	84	21	दा दा दा दा द दा दा द द द द द द दा दा दा द दा दा द दा				33		आनन्दमिश्र-जालक्षेत्रम्						
प्रतिमा	84	21	द द दा द द दा द द दा द द दा द द दा द द दा द द दा				28		आनन्दमिश्र-जालक्षेत्रम्						
मन्दाक्षमन्दरम्	84	21	द द द द द द दा दा दा दा दा दा द दा द दा द दा दा दा दा				33		आनन्दमिश्र-जालक्षेत्रम्						
ललितललाम	84	21	द द द द दा द दा दा द दा दा द दा दा द दा दा द द द दा				31		आनन्दमिश्र-जालक्षेत्रम्						
विद्यदाली	84	21	द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				35		आनन्दमिश्र-जालक्षेत्रम्						
शरकाण्डप्रकाण्डम्	84	21	द द दा दा द दा द द द दा द दा दा द दा दा द दा दा द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
सरसी (पञ्चकावली|चम्पकमाला इति कन्नडभाषायाम्)	84	21	द द द द दा द दा द द द दा द द दा द द दा द दा द दा			(७ ७ ७)?	28	सरसी सिंहकमिति सलिलनिधिरिति च क्वापि। नजभजजा जरौ यदि तदा गदिता सरसी कवीश्वरैः	आनन्दमिश्र-जालक्षेत्रम्	तुरगशताकुलस्य परितः परमेकतुरङ्गजन्मनः प्रमथितभूभृतः प्रतिपथं मथितस्य भृशं महीभृता । परिचलतः बलानुजबलस्य पुरः सततं धृतश्रियश्चिरविगतश्रियो जलनिधेश्च तदाभवददन्तरं महत् ॥ इति माघे			न ज भ ज ज ज र॥ न ज भ न ज ज र??		
अचलविरतिः	88	22	द द द द द द द द द द द द द द द द द द द द द दा				23		आनन्दमिश्र-जालक्षेत्रम्						
अयमानम्	88	22	द द दा द द दा द द दा द द दा द द दा द द दा द द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
अर्भकमाला	88	22	दा द द दा दा द द द द दा दा द द द द दा दा दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
कङ्कणक्वाणः	88	22	दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				37		आनन्दमिश्र-जालक्षेत्रम्						
कङ्कणक्वाणवाणी	88	22	दा दा दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				38		आनन्दमिश्र-जालक्षेत्रम्						
द्रुतमुखम्	88	22	द द द द द द द द द द द द दा दा दा दा द दा द दा दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
निष्कलकण्ठी	88	22	दा द द दा दा दा द द दा दा दा द द दा दा द द दा दा द द दा				34		आनन्दमिश्र-जालक्षेत्रम्						
भद्रकम्	88	22	दा द द दा द दा द द द द द दा द द द दा द दा द द द दा			१० १२	29		आनन्दमिश्र-जालक्षेत्रम्				भ न र न र न न ग॥		
भस्त्रानिस्तरणम्	88	22	दा दा दा द द दा दा द द द द द द दा द दा द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
भीमाभोगः	88	22	दा दा दा दा दा द दा दा द दा दा दा दा दा दा दा द दा दा द दा दा				40		आनन्दमिश्र-जालक्षेत्रम्						
भुजङ्गोद्धतम्	88	22	दा दा द दा द द दा द दा दा द दा द द दा दा द दा द द द दा				33		आनन्दमिश्र-जालक्षेत्रम्						
भोगावली	88	22	दा दा द दा द द दा द दा द द दा द द द द द द द दा द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
मदिरा	88	22	दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
वनवासिनी	88	22	द द दा द द दा द दा द दा द द दा द दा द द द द द दा द				29		आनन्दमिश्र-जालक्षेत्रम्						
वासकलीला	88	22	दा द द दा दा दा द द दा दा दा द द दा दा दा द द दा दा दा दा				36		आनन्दमिश्र-जालक्षेत्रम्						
वीरनीराजना	88	22	द दा दा द दा दा द दा दा द दा दा दा द दा दा द दा दा द दा दा				37		आनन्दमिश्र-जालक्षेत्रम्						
सितस्तवकः | अश्वधाटिः	88	22	दा दा द दा द द द दा दा द दा द द द दा दा द दा द द द दा				32		आनन्दमिश्र-जालक्षेत्रम्	दशावतारस्तुतौ॥ प्रोष्ठीशविग्रह सुनिष्ठीवनोद्धत विशिष्टाम्बुचारिजलधे |  कोष्ठान्तराहितविचेष्टागमौघ परमेष्ठीडित त्वमवमाम् |  प्रेष्ठार्कसूनुमनुचेष्ठार्थमात्मविदतीष्टो युगान्तसमये |  स्थेष्ठात्मशृङ्गधृतकाष्ठाम्बुवाहन वराष्टापदप्रभतनो || १||		लयः।	दा दा द दा द द द॥		
स्वर्णाभरणम्	88	22	द द दा द द दा द द दा द द दा द द द द दा दा दा द द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
हंसी	88	22	दा दा दा दा दा दा द द। द द द द द द द । द द द दा दा॥			८ ७ ७	28		आनन्दमिश्र-जालक्षेत्रम्				म म ग ग न न न न॥		
अमरचमरी	92	23	द द द द द द द द द द द द द द द द द द द द द द दा				24		आनन्दमिश्र-जालक्षेत्रम्						
इन्द्रविमानम्	92	23	दा द द दा दा द द द द दा दा दा दा द द द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
गोत्रगरीयः	92	23	दा द द दा दा द द द द दा दा द द दा दा द द द द दा द द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
चकोरः	92	23	दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा द				31		आनन्दमिश्र-जालक्षेत्रम्						
परिधानीयम्	92	23	द द द द द द दा द द दा दा द द दा द द दा दा द द दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
पारावारान्तस्थम्	92	23	दा दा दा दा दा दा दा दा दा द द दा दा द द द द दा दा दा द द दा				38		आनन्दमिश्र-जालक्षेत्रम्						
पुलकाञ्चितम्	92	23	दा द द द द दा द द द द दा दा द द द द द द दा द द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
मत्तगजेन्द्रः	92	23	दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
मन्थरायनम्	92	23	द द द दा द दा द द द द द द दा द द दा द द दा द द दा दा				30		आनन्दमिश्र-जालक्षेत्रम्						
मानवती	92	23	द दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा				31		आनन्दमिश्र-जालक्षेत्रम्						
रामाबद्धम्	92	23	दा दा दा दा द द द द दा दा द द दा दा द द द द दा दा द द दा				34		आनन्दमिश्र-जालक्षेत्रम्						
विपुलायितम्	92	23	दा दा दा द द द द दा द दा द द द द द द दा द दा द दा द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
विलम्बललितम्	92	23	द दा द द द दा द दा द द द दा द दा द द द दा द दा द द दा				31		आनन्दमिश्र-जालक्षेत्रम्						
विलासवासः	92	23	दा द द द द दा दा द द दा द द द द दा द दा द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
श्रवणाभरणम्	92	23	द द द द दा द द दा द द दा द द दा द द दा द द दा द द दा				30		आनन्दमिश्र-जालक्षेत्रम्						
संभृतशरधिः	92	23	दा द द द द द द दा दा दा द द द द द द दा दा द द दा दा द				31		आनन्दमिश्र-जालक्षेत्रम्						
अतुलपुलकम्	96	24	द द द द द द द द द द द द द द द द द द द द द द द दा				25		आनन्दमिश्र-जालक्षेत्रम्						
अधीरकरीरम्	96	24	दा दा दा द द द द द द दा द द द द दा द द द द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
अनामयम्	96	24	द दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा द				32		आनन्दमिश्र-जालक्षेत्रम्						
अर्दितम्	96	24	दा द द दा द द दा द द दा द द दा द द दा द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
उत्कटपट्टिका	96	24	दा दा द द दा द दा द दा द दा द द द द द द दा दा द दा दा द दा				35		आनन्दमिश्र-जालक्षेत्रम्						
कोकपदम्	96	24	दा द द दा दा दा द द दा दा द द द द द द द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
गङ्गोदकम्	96	24	दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा				40		आनन्दमिश्र-जालक्षेत्रम्						
द्विमिला	96	24	द द दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
धौरेयम्	96	24	दा द द दा द द द द दा द द दा द द द द द द द द दा दा दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
पार्षतसरणम्	96	24	दा द द द द द द दा दा दा दा दा द द द द द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
भासमानबिम्बम्	96	24	दा द दा द दा द दा द द द द दा द दा द दा द द द द दा द दा दा				34		आनन्दमिश्र-जालक्षेत्रम्						
भुजङ्गः	96	24	द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				40		आनन्दमिश्र-जालक्षेत्रम्						
मेदुरदन्तम्	96	24	दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा द द				32		आनन्दमिश्र-जालक्षेत्रम्						
वंशलोन्नता	96	24	दा द दा द दा द दा द दा दा दा दा दा दा दा द दा द दा द दा दा दा दा				41		आनन्दमिश्र-जालक्षेत्रम्						
विगाहितगेहम्	96	24	द द द द द द द द द द दा दा दा दा दा द द द द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
वेल्लितवेलम्	96	24	दा द द दा द द दा द द दा दा दा द द दा द द द द द द द द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
शम्बरम्	96	24	द द द दा द द दा द द दा द दा द द द दा द द दा द द दा द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
समाहितम्	96	24	द द द द दा द द दा द द दा द द दा द द दा द द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
अभ्रब्रमणम्	100	25	दा दा द द द द दा दा दा द द दा द द द द द द द द द द द द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
अलका	100	25	द द द द द द द द द द द द द द द द द द द द द द द द दा				26		आनन्दमिश्र-जालक्षेत्रम्						
कुमुदमाला	100	25	द द द दा दा द द द दा दा द द द दा दा द द द दा दा द द द दा दा				35		आनन्दमिश्र-जालक्षेत्रम्						
क्रोशपदा	100	25	दा द द दा दा दा द द दा दा द द द द द द द द द द द द द द दा				32		आनन्दमिश्र-जालक्षेत्रम्						
चित्तचिन्तामणिः	100	25	दा द दा दा द दा दा द दा द द द द दा द दा दा द दा दा द दा दा द दा				39		आनन्दमिश्र-जालक्षेत्रम्						
नीपवनीयकम्	100	25	दा द द द द द द द द द द दा दा द द द द दा द द दा द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
भाविनीविलसितम्	100	25	दा द दा द द द दा द दा द द द दा द दा द द द दा द दा द द द दा				34		आनन्दमिश्र-जालक्षेत्रम्						
भास्करम्	100	25	दा द द द द द द दा द द दा दा दा द द द द द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
मल्लपल्लीप्रकाशम्	100	25	द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द				41		आनन्दमिश्र-जालक्षेत्रम्						
मुदिरम्	100	25	द द दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा दा				34		आनन्दमिश्र-जालक्षेत्रम्						
रसिकरसाला	100	25	द द द द द द द द दा द द दा दा द द दा दा द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
विरहविरहस्यम्	100	25	दा दा दा द द द द द द दा दा द द दा दा द द द द द द द द दा दा				34		आनन्दमिश्र-जालक्षेत्रम्						
विशेषकबलितम्	100	25	द द द द द द दा दा दा दा दा दा द दा द द दा द द दा द द द द दा				35		आनन्दमिश्र-जालक्षेत्रम्						
व्याकोशकोशलम्	100	25	दा दा द दा द द द दा दा दा द द द द दा द द दा द द दा द दा द दा				36		आनन्दमिश्र-जालक्षेत्रम्						
शरभूरिणी	100	25	दा द दा द द दा द दा द द दा द दा द द दा द दा द द दा द दा दा दा				37		आनन्दमिश्र-जालक्षेत्रम्		लयः। दा द दा द द दा द दा।				
शिविका	100	25	दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा द द दा				34		आनन्दमिश्र-जालक्षेत्रम्						
सौदामनदाम	100	25	द द दा द द दा द द दा द द दा द द द द दा द द दा दा द द दा द				33		आनन्दमिश्र-जालक्षेत्रम्						
ह्रीणहैयङ्गवीनम्	100	25	दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा				42		आनन्दमिश्र-जालक्षेत्रम्						
अशोकानोकहम्	104	26	दा दा दा दा द द द द द दा द द द द द दा द दा दा दा द दा दा द दा दा				39		आनन्दमिश्र-जालक्षेत्रम्						
आभासमानम्	104	26	द दा दा द दा दा द दा दा द दा दा दा दा द दा दा द दा दा द दा दा द दा दा				44		आनन्दमिश्र-जालक्षेत्रम्						
उज्झितकदनम्	104	26	दा द द द द द द दा द द दा द द दा द द द द द द द द द द दा दा				32		आनन्दमिश्र-जालक्षेत्रम्						
कर्णाटकम्	104	26	दा दा द दा द द द दा द दा द द द दा द दा द द द द द द द द द दा				34		आनन्दमिश्र-जालक्षेत्रम्						
काकलीकलकोकिलः	104	26	दा द दा द द दा द दा द द दा द दा द द दा द दा द द दा द दा द द दा				37		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
कुम्भकम्	104	26	द द द द द द दा द दा दा द दा दा द दा दा द दा दा द दा दा द दा दा द				39		आनन्दमिश्र-जालक्षेत्रम्						
